Metro_area,Main_cities,Population,Violent_crime,Property_crime
NA,City of Pittsburgh,302443,2366,9868
NA,Total area actually reporting,0.979,6694,40207
NA,Estimated total,1,6778,40964
NA,"Rate per 100,000 inhabitants",NA,289,1746.5
"Pittsfield, MA M.S.A.",NA,126594,NA,NA
NA,Includes Berkshire County,NA,NA,NA
NA,City of Pittsfield,43031,340,1016
NA,Total area actually reporting,0.912,616,2138
NA,Estimated total,1,649,2292
NA,"Rate per 100,000 inhabitants",NA,512.7,1810.5
"Pocatello, ID M.S.A.",NA,84414,NA,NA
NA,Includes Bannock County,NA,NA,NA
NA,City of Pocatello,54448,207,1630
NA,Total area actually reporting,1,241,2218
NA,"Rate per 100,000 inhabitants",NA,285.5,2627.5
"Portland-South Portland, ME M.S.A.2",NA,529510,NA,NA
NA,"Includes Cumberland, Sagadahoc, and York Counties",NA,NA,NA
NA,City of Portland,67041,196,1795
NA,City of South Portland,25674,44,596
NA,Total area actually reporting,1,711,8954
NA,"Rate per 100,000 inhabitants",NA,134.3,1691
"Portland-Vancouver-Hillsboro, OR-WA M.S.A.",NA,2435620,NA,NA
NA,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",NA,NA,NA
NA,"City of Portland, OR",642129,3163,33087
NA,"City of Vancouver, WA",174912,675,5533
NA,"City of Hillsboro, OR",104440,298,2010
NA,"City of Beaverton, OR",97907,133,1403
NA,Total area actually reporting,0.983,6635,66937
NA,Estimated total,1,6725,68056
NA,"Rate per 100,000 inhabitants",NA,276.1,2794.2
"Port St. Lucie, FL M.S.A.",NA,461932,NA,NA
NA,Includes Martin and St. Lucie Counties,NA,NA,NA
NA,City of Port St. Lucie,182365,270,2419
NA,Total area actually reporting,1,1196,8119
NA,"Rate per 100,000 inhabitants",NA,258.9,1757.6
"Prescott, AZ M.S.A.",NA,225038,NA,NA
NA,Includes Yavapai County,NA,NA,NA
NA,City of Prescott,42321,170,924
NA,Total area actually reporting,1,653,4326
NA,"Rate per 100,000 inhabitants",NA,290.2,1922.3
"Providence-Warwick, RI-MA M.S.A.3, 4",NA,1612295,NA,NA
NA,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties, RI",NA,NA,NA
NA,"City of Providence, RI3",179340,1031,NA
NA,"City of Warwick, RI",81481,61,1625
NA,Total area actually reporting,1,5079,NA
NA,"Rate per 100,000 inhabitants",NA,315,NA
"Provo-Orem, UT M.S.A.",NA,599314,NA,NA
NA,Includes Juab and Utah Counties,NA,NA,NA
NA,City of Provo,115739,149,2713
NA,City of Orem,95640,65,2447
NA,Total area actually reporting,1,465,10556
NA,"Rate per 100,000 inhabitants",NA,77.6,1761.3
"Pueblo, CO M.S.A.",NA,164337,NA,NA
NA,Includes Pueblo County,NA,NA,NA
NA,City of Pueblo,109927,1081,7473
NA,Total area actually reporting,1,1117,8784
NA,"Rate per 100,000 inhabitants",NA,679.7,5345.1
"Punta Gorda, FL M.S.A.",NA,176234,NA,NA
NA,Includes Charlotte County,NA,NA,NA
NA,City of Punta Gorda,18466,12,212
NA,Total area actually reporting,1,391,2671
NA,"Rate per 100,000 inhabitants",NA,221.9,1515.6
"Racine, WI M.S.A.",NA,194692,NA,NA
NA,Includes Racine County,NA,NA,NA
NA,City of Racine,77536,367,2287
NA,Total area actually reporting,1,427,3748
NA,"Rate per 100,000 inhabitants",NA,219.3,1925.1
"Rapid City, SD M.S.A.",NA,145700,NA,NA
NA,"Includes Custer, Meade, and Pennington Counties",NA,NA,NA
NA,City of Rapid City,74573,536,2966
NA,Total area actually reporting,1,721,3806
NA,"Rate per 100,000 inhabitants",NA,494.9,2612.2
"Reading, PA M.S.A.",NA,414729,NA,NA
NA,Includes Berks County,NA,NA,NA
NA,City of Reading,87834,597,2292
NA,Total area actually reporting,0.991,1128,6740
NA,Estimated total,1,1135,6795
NA,"Rate per 100,000 inhabitants",NA,273.7,1638.4
"Redding, CA M.S.A.",NA,178755,NA,NA
NA,Includes Shasta County,NA,NA,NA
NA,City of Redding,91918,720,3837
NA,Total area actually reporting,1,1333,5561
NA,"Rate per 100,000 inhabitants",NA,745.7,3111
"Reno, NV M.S.A.",NA,457558,NA,NA
NA,Includes Storey and Washoe Counties,NA,NA,NA
NA,City of Reno,244554,1717,7933
NA,Total area actually reporting,1,2354,11866
NA,"Rate per 100,000 inhabitants",NA,514.5,2593.3
"Riverside-San Bernardino-Ontario, CA M.S.A.",NA,4509084,NA,NA
NA,Includes Riverside and San Bernardino Counties,NA,NA,NA
NA,City of Riverside,325896,1724,11266
NA,City of San Bernardino,217303,2878,9178
NA,City of Ontario,172606,602,4718
NA,City of Corona,166534,185,3693
NA,City of Victorville,123438,748,3528
NA,City of Temecula,114381,145,2587
NA,City of Chino,87081,207,2151
NA,City of Redlands,71485,225,2913
NA,Total area actually reporting,1,17916,120270
NA,"Rate per 100,000 inhabitants",NA,397.3,2667.3
"Roanoke, VA M.S.A.",NA,314014,NA,NA
NA,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities",NA,NA,NA
NA,City of Roanoke,99978,413,4195
NA,Total area actually reporting,1,763,7110
NA,"Rate per 100,000 inhabitants",NA,243,2264.2
"Rochester, MN M.S.A.",NA,214994,NA,NA
NA,"Includes Dodge, Fillmore, Olmsted, and Wabasha Counties",NA,NA,NA
NA,City of Rochester,113306,242,2479
NA,Total area actually reporting,1,296,3138
NA,"Rate per 100,000 inhabitants",NA,137.7,1459.6
"Rochester, NY M.S.A.",NA,1075149,NA,NA
NA,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties",NA,NA,NA
NA,City of Rochester,209643,1845,7812
NA,Total area actually reporting,0.996,3012,21396
NA,Estimated total,1,3019,21457
NA,"Rate per 100,000 inhabitants",NA,280.8,1995.7
"Rockford, IL M.S.A.",NA,337323,NA,NA
NA,Includes Boone and Winnebago Counties,NA,NA,NA
NA,City of Rockford,147361,2444,5565
NA,Total area actually reporting,0.99,2932,8697
NA,Estimated total,1,2939,8756
NA,"Rate per 100,000 inhabitants",NA,871.3,2595.7
"Rocky Mount, NC M.S.A.3",NA,147228,NA,NA
NA,Includes Edgecombe and Nash Counties,NA,NA,NA
NA,City of Rocky Mount3,55431,435,NA
NA,Total area actually reporting,0.939,635,NA
NA,Estimated total,1,660,NA
NA,"Rate per 100,000 inhabitants",NA,448.3,NA
"Rome, GA M.S.A.",NA,96420,NA,NA
NA,Includes Floyd County,NA,NA,NA
NA,City of Rome,36278,208,1398
NA,Total area actually reporting,1,309,2765
NA,"Rate per 100,000 inhabitants",NA,320.5,2867.7
"Sacramento - Roseville - Arden - Arcade, CA M.S.A.",NA,2283312,NA,NA
NA,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",NA,NA,NA
NA,City of Sacramento,495471,3549,15283
NA,City of Roseville,132566,199,3316
NA,City of Folsom,77245,76,1384
NA,Total area actually reporting,1,9384,54595
NA,"Rate per 100,000 inhabitants",NA,411,2391
"Saginaw, MI M.S.A.",NA,191925,NA,NA
NA,Includes Saginaw County,NA,NA,NA
NA,City of Saginaw,48942,718,926
NA,Total area actually reporting,1,1168,3346
NA,"Rate per 100,000 inhabitants",NA,608.6,1743.4
"Salem, OR M.S.A.",NA,416427,NA,NA
NA,Includes Marion and Polk Counties,NA,NA,NA
NA,City of Salem,166508,533,6661
NA,Total area actually reporting,1,952,11947
NA,"Rate per 100,000 inhabitants",NA,228.6,2868.9
"Salinas, CA M.S.A.",NA,434506,NA,NA
NA,Includes Monterey County,NA,NA,NA
NA,City of Salinas,158729,1005,4742
NA,Total area actually reporting,1,1822,10396
NA,"Rate per 100,000 inhabitants",NA,419.3,2392.6
"Salisbury, MD-DE M.S.A.",NA,397778,NA,NA
NA,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD",NA,NA,NA
NA,"City of Salisbury, MD",33417,297,1695
NA,Total area actually reporting,1,1609,10755
NA,"Rate per 100,000 inhabitants",NA,404.5,2703.8
"Salt Lake City, UT M.S.A.2",NA,1190065,NA,NA
NA,Includes Salt Lake and Tooele Counties,NA,NA,NA
NA,City of Salt Lake City,193918,1815,16551
NA,Total area actually reporting,0.999,4885,54725
NA,Estimated total,1,4885,54736
NA,"Rate per 100,000 inhabitants",NA,410.5,4599.4
"San Angelo, TX M.S.A.",NA,120833,NA,NA
NA,Includes Irion and Tom Green Counties,NA,NA,NA
NA,City of San Angelo,101870,371,4991
NA,Total area actually reporting,1,403,5484
NA,"Rate per 100,000 inhabitants",NA,333.5,4538.5
"San Antonio-New Braunfels, TX M.S.A.2",NA,2426076,NA,NA
NA,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties",NA,NA,NA
NA,City of San Antonio,1498642,10754,77786
NA,City of New Braunfels,73334,207,1721
NA,Total area actually reporting,0.999,12767,99e3
NA,Estimated total,1,12771,99029
NA,"Rate per 100,000 inhabitants",NA,526.4,4081.9
"San Diego-Carlsbad, CA M.S.A.",NA,3317259,NA,NA
NA,Includes San Diego County,NA,NA,NA
NA,City of San Diego,1413414,5332,28624
NA,City of Carlsbad,115040,209,2188
NA,Total area actually reporting,1,10959,61371
NA,"Rate per 100,000 inhabitants",NA,330.4,1850.1
"San Francisco-Oakland-Hayward, CA M.S.A.",NA,4688840,NA,NA
NA,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael",NA,NA,NA
NA,City of San Francisco,871155,6190,47402
NA,City of Oakland,424998,6059,23952
NA,City of Hayward,161122,631,4641
NA,City of Berkeley,122651,602,5420
NA,City of San Leandro,91870,487,3530
NA,City of Redwood City,87046,164,1503
NA,City of San Ramon,76901,39,823
NA,City of Pleasanton,81464,100,1604
NA,City of Walnut Creek,69860,78,2120
NA,City of South San Francisco,67995,149,1416
NA,City of San Rafael,59435,249,1713
NA,Total area actually reporting,1,22400,156988
NA,"Rate per 100,000 inhabitants",NA,477.7,3348.1
"Oakland-Hayward-Berkeley, CA M.D.",NA,2787325,NA,NA
NA,Includes Alameda and Contra Costa Counties,NA,NA,NA
NA,Total area actually reporting,1,14022,88683
NA,"Rate per 100,000 inhabitants",NA,503.1,3181.7
"San Francisco-Redwood City-South San Francisco, CA M.D.",NA,1640386,NA,NA
NA,Includes San Francisco and San Mateo Counties,NA,NA,NA
NA,Total area actually reporting,1,7903,63330
NA,"Rate per 100,000 inhabitants",NA,481.8,3860.7
"San Rafael, CA M.D.",NA,261129,NA,NA
NA,Includes Marin County,NA,NA,NA
NA,Total area actually reporting,1,475,4975
NA,"Rate per 100,000 inhabitants",NA,181.9,1905.2
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",NA,1991233,NA,NA
NA,Includes San Benito and Santa Clara Counties,NA,NA,NA
NA,City of San Jose,1041844,3887,24749
NA,City of Sunnyvale,154108,158,2140
NA,City of Santa Clara,128179,159,2814
NA,City of Mountain View,81726,132,1776
NA,City of Milpitas,79990,96,1791
NA,City of Palo Alto,67317,73,1436
NA,City of Cupertino,60948,71,997
NA,Total area actually reporting,1,5578,43340
NA,"Rate per 100,000 inhabitants",NA,280.1,2176.5
"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",NA,281827,NA,NA
NA,Includes San Luis Obispo County,NA,NA,NA
NA,City of San Luis Obispo,47774,178,2076
NA,City of Paso Robles,31939,67,977
NA,City of Arroyo Grande,18280,35,334
NA,Total area actually reporting,1,1115,6687
NA,"Rate per 100,000 inhabitants",NA,395.6,2372.7
"Santa Cruz-Watsonville, CA M.S.A.",NA,274494,NA,NA
NA,Includes Santa Cruz County,NA,NA,NA
NA,City of Santa Cruz,64969,521,3610
NA,City of Watsonville,54110,238,1738
NA,Total area actually reporting,1,1101,9485
NA,"Rate per 100,000 inhabitants",NA,401.1,3455.4
"Santa Fe, NM M.S.A.",NA,148925,NA,NA
NA,Includes Santa Fe County,NA,NA,NA
NA,City of Santa Fe,84663,324,3234
NA,Total area actually reporting,1,555,4267
NA,"Rate per 100,000 inhabitants",NA,372.7,2865.2
"Santa Maria-Santa Barbara, CA M.S.A.",NA,445908,NA,NA
NA,Includes Santa Barbara County,NA,NA,NA
NA,City of Santa Maria,106200,506,2638
NA,City of Santa Barbara,92519,397,3060
NA,Total area actually reporting,1,1527,9779
NA,"Rate per 100,000 inhabitants",NA,342.4,2193.1
"Santa Rosa, CA M.S.A.",NA,502249,NA,NA
NA,Includes Sonoma County,NA,NA,NA
NA,City of Santa Rosa,176383,658,3010
NA,Total area actually reporting,1,1868,7794
NA,"Rate per 100,000 inhabitants",NA,371.9,1551.8
"Savannah, GA M.S.A.",NA,385219,NA,NA
NA,"Includes Bryan, Chatham, and Effingham Counties",NA,NA,NA
NA,City of Savannah-Chatham Metropolitan,241296,1174,8762
NA,Total area actually reporting,1,1608,11968
NA,"Rate per 100,000 inhabitants",NA,417.4,3106.8
"Seattle-Tacoma-Bellevue, WA M.S.A.",NA,3808184,NA,NA
NA,Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma-Lakewood,NA,NA,NA
NA,City of Seattle,700313,4294,38433
NA,City of Tacoma,209914,2e3,13749
NA,City of Bellevue,142238,139,4635
NA,City of Everett,108988,490,5608
NA,City of Kent,128604,372,7527
NA,City of Renton,101908,341,5767
NA,City of Auburn,78400,329,3618
NA,City of Lakewood,60153,449,2939
NA,City of Redmond,61893,83,1936
NA,Total area actually reporting,1,13449,148138
NA,"Rate per 100,000 inhabitants",NA,353.2,3890
"Seattle-Bellevue-Everett, WA M.D.",NA,2950845,NA,NA
NA,Includes King and Snohomish Counties,NA,NA,NA
NA,Total area actually reporting,1,9246,113792
NA,"Rate per 100,000 inhabitants",NA,313.3,3856.3
"Tacoma-Lakewood, WA M.D.",NA,857339,NA,NA
NA,Includes Pierce County,NA,NA,NA
NA,Total area actually reporting,1,4203,34346
NA,"Rate per 100,000 inhabitants",NA,490.2,4006.1
"Sebastian-Vero Beach, FL M.S.A.",NA,150236,NA,NA
NA,Includes Indian River County,NA,NA,NA
NA,City of Sebastian,24441,42,467
NA,City of Vero Beach,16589,69,426
NA,Total area actually reporting,1,345,2776
NA,"Rate per 100,000 inhabitants",NA,229.6,1847.8
"Sebring, FL M.S.A.",NA,99857,NA,NA
NA,Includes Highlands County,NA,NA,NA
NA,City of Sebring,10516,45,499
NA,Total area actually reporting,1,327,2667
NA,"Rate per 100,000 inhabitants",NA,327.5,2670.8
"Sheboygan, WI M.S.A.",NA,115401,NA,NA
NA,Includes Sheboygan County,NA,NA,NA
NA,City of Sheboygan,48710,131,1063
NA,Total area actually reporting,1,179,1650
NA,"Rate per 100,000 inhabitants",NA,155.1,1429.8
"Sherman-Denison, TX M.S.A.",NA,125998,NA,NA
NA,Includes Grayson County,NA,NA,NA
NA,City of Sherman,41139,127,1251
NA,City of Denison,23237,110,557
NA,Total area actually reporting,0.971,334,2416
NA,Estimated total,1,344,2507
NA,"Rate per 100,000 inhabitants",NA,273,1989.7
"Shreveport-Bossier City, LA M.S.A.",NA,442787,NA,NA
NA,"Includes Bossier, Caddo, De Soto, and Webster Parishes",NA,NA,NA
NA,City of Shreveport,196467,1865,10721
NA,City of  Bossier City,69384,585,3206
NA,Total area actually reporting,0.997,2877,16786
NA,Estimated total,1,2882,16828
NA,"Rate per 100,000 inhabitants",NA,650.9,3800.5
"Sierra Vista-Douglas, AZ M.S.A.",NA,125652,NA,NA
NA,Includes Cochise County,NA,NA,NA
NA,City of Sierra Vista,42988,85,1278
NA,City of Douglas,16398,30,462
NA,Total area actually reporting,0.896,392,2547
NA,Estimated total,1,428,2906
NA,"Rate per 100,000 inhabitants",NA,340.6,2312.7
"Sioux City, IA-NE-SD M.S.A.",NA,168846,NA,NA
NA,"Includes Plymouth and Woodbury Counties, IA; Dakota and Dixon Counties, NE; and Union County, SD",NA,NA,NA
NA,"City of Sioux City, IA",82819,365,3247
NA,Total area actually reporting,0.985,504,4455
NA,Estimated total,1,507,4488
NA,"Rate per 100,000 inhabitants",NA,300.3,2658
"Sioux Falls, SD M.S.A.",NA,256120,NA,NA
NA,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",NA,NA,NA
NA,City of Sioux Falls,175152,897,5563
NA,Total area actually reporting,0.997,993,6429
NA,Estimated total,1,994,6439
NA,"Rate per 100,000 inhabitants",NA,388.1,2514.1
"South Bend-Mishawaka, IN-MI M.S.A.2",NA,319742,NA,NA
NA,"Includes St. Joseph County, IN and Cass County, MI",NA,NA,NA
NA,"City of South Bend, IN2",101621,1037,5166
NA,"City of Mishawaka, IN",48267,165,2523
NA,Total area actually reporting,0.98,1463,9644
NA,Estimated total,1,1481,9767
NA,"Rate per 100,000 inhabitants",NA,463.2,3054.7
"Spokane-Spokane Valley, WA M.S.A.2",NA,553915,NA,NA
NA,"Includes Pend Oreille, Spokane,2 and Stevens Counties",NA,NA,NA
NA,City of Spokane2,214028,1279,16455
NA,City of Spokane Valley2,95923,271,5292
NA,Total area actually reporting,0.999,1859,27718
NA,Estimated total,1,1859,27727
NA,"Rate per 100,000 inhabitants",NA,335.6,5005.6
"Springfield, IL M.S.A.",NA,210256,NA,NA
NA,Includes Menard and Sangamon Counties,NA,NA,NA
NA,City of Springfield,116563,1301,5158
NA,Total area actually reporting,0.98,1547,6339
NA,Estimated total,1,1556,6411
NA,"Rate per 100,000 inhabitants",NA,740.1,3049.1
"Springfield, MA M.S.A.",NA,630942,NA,NA
NA,Includes Hampden and Hampshire Counties,NA,NA,NA
NA,City of Springfield,154102,1588,5073
NA,Total area actually reporting,0.978,3351,14257
NA,Estimated total,1,3393,14451
NA,"Rate per 100,000 inhabitants",NA,537.8,2290.4
"Springfield, MO M.S.A.",NA,459709,NA,NA
NA,"Includes Christian, Dallas, Greene, Polk, and Webster Counties",NA,NA,NA
NA,City of Springfield,168307,2251,14251
NA,Total area actually reporting,1,2775,19475
NA,"Rate per 100,000 inhabitants",NA,603.6,4236.4
"Springfield, OH M.S.A.",NA,135331,NA,NA
NA,Includes Clark County,NA,NA,NA
NA,City of Springfield,59503,411,4040
NA,Total area actually reporting,0.944,460,5259
NA,Estimated total,1,471,5428
NA,"Rate per 100,000 inhabitants",NA,348,4010.9
"State College, PA M.S.A.",NA,161409,NA,NA
NA,Includes Centre County,NA,NA,NA
NA,City of State College,58119,39,491
NA,Total area actually reporting,1,152,1719
NA,"Rate per 100,000 inhabitants",NA,94.2,1065
"Staunton-Waynesboro, VA M.S.A.",NA,119934,NA,NA
NA,Includes Augusta County and Staunton and Waynesboro Cities,NA,NA,NA
NA,City of Staunton,24399,41,528
NA,City of Waynesboro,21464,40,486
NA,Total area actually reporting,1,159,1746
NA,"Rate per 100,000 inhabitants",NA,132.6,1455.8
"St. Cloud, MN M.S.A.",NA,195241,NA,NA
NA,Includes Benton and Stearns Counties,NA,NA,NA
NA,City of St. Cloud,67341,293,2780
NA,Total area actually reporting,1,388,4638
NA,"Rate per 100,000 inhabitants",NA,198.7,2375.5
"St. George, UT M.S.A.",NA,159745,NA,NA
NA,Includes Washington County,NA,NA,NA
NA,City of St. George,81755,160,1465
NA,Total area actually reporting,0.981,265,2676
NA,Estimated total,1,270,2757
NA,"Rate per 100,000 inhabitants",NA,169,1725.9
"St. Joseph, MO-KS M.S.A.",NA,126595,NA,NA
NA,"Includes Doniphan County, KS and Andrew, Buchanan, and DeKalb Counties, MO",NA,NA,NA
NA,"City of St. Joseph, MO",76577,428,4546
NA,Total area actually reporting,1,532,5141
NA,"Rate per 100,000 inhabitants",NA,420.2,4061
"St. Louis, MO-IL M.S.A.2, 4",NA,2811156,NA,NA
NA,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, and Warren Counties and St. Louis City, MO",NA,NA,NA
NA,"City of St. Louis, MO",314507,6017,18653
NA,"City of St. Charles, MO",69364,138,1756
NA,Total area actually reporting,0.985,NA,69303
NA,Estimated total,1,NA,70004
NA,"Rate per 100,000 inhabitants",NA,NA,2490.2
"Stockton-Lodi, CA M.S.A.",NA,729104,NA,NA
NA,Includes San Joaquin County,NA,NA,NA
NA,City of Stockton,308348,4381,11634
NA,City of Lodi,65067,351,1935
NA,Total area actually reporting,1,6005,22629
NA,"Rate per 100,000 inhabitants",NA,823.6,3103.7
"Sumter, SC M.S.A.",NA,107671,NA,NA
NA,Includes Sumter County,NA,NA,NA
NA,City of Sumter,40864,282,1666
NA,Total area actually reporting,1,636,3539
NA,"Rate per 100,000 inhabitants",NA,590.7,3286.9
"Syracuse, NY M.S.A.",NA,655589,NA,NA
NA,"Includes Madison, Onondaga, and Oswego Counties",NA,NA,NA
NA,City of Syracuse,143925,1063,4651
NA,Total area actually reporting,1,1812,12838
NA,"Rate per 100,000 inhabitants",NA,276.4,1958.2
"Tallahassee, FL M.S.A.",NA,380448,NA,NA
NA,"Includes Gadsden, Jefferson, Leon, and Wakulla Counties",NA,NA,NA
NA,City of Tallahassee,191564,1686,11073
NA,Total area actually reporting,0.98,2373,15347
NA,Estimated total,1,2403,15581
NA,"Rate per 100,000 inhabitants",NA,631.6,4095.4
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",NA,3020266,NA,NA
NA,"Includes Hernando, Hillsborough, Pasco, and Pinellas Counties",NA,NA,NA
NA,City of Tampa,375904,1906,7800
NA,City of St. Petersburg,259510,1727,12804
NA,City of Clearwater,113904,636,3755
NA,City of Largo,81402,390,2989
NA,Total area actually reporting,1,10294,70491
NA,"Rate per 100,000 inhabitants",NA,340.8,2333.9
"Texarkana, TX-AR M.S.A.",NA,149537,NA,NA
NA,"Includes Little River and Miller Counties, AR and Bowie County, TX",NA,NA,NA
NA,"City of Texarkana, TX",37442,314,1875
NA,Total area actually reporting,1,669,4953
NA,"Rate per 100,000 inhabitants",NA,447.4,3312.2
"The Villages, FL M.S.A.",NA,124785,NA,NA
NA,Includes Sumter County,NA,NA,NA
NA,Total area actually reporting,1,292,1093
NA,"Rate per 100,000 inhabitants",NA,234,875.9
"Toledo, OH M.S.A.",NA,604373,NA,NA
NA,"Includes Fulton, Lucas, and Wood Counties",NA,NA,NA
NA,City of Toledo,278366,3319,11191
NA,Total area actually reporting,0.928,3662,16577
NA,Estimated total,1,3728,17540
NA,"Rate per 100,000 inhabitants",NA,616.8,2902.2
"Topeka, KS M.S.A.",NA,232459,NA,NA
NA,"Includes Jackson, Jefferson, Osage, Shawnee, and Wabaunsee Counties",NA,NA,NA
NA,City of Topeka,127166,711,7148
NA,Total area actually reporting,0.977,899,8878
NA,Estimated total,1,910,8984
NA,"Rate per 100,000 inhabitants",NA,391.5,3864.8
"Trenton, NJ M.S.A.",NA,370221,NA,NA
NA,Includes Mercer County,NA,NA,NA
NA,City of Trenton,83644,1127,2186
NA,Total area actually reporting,1,1490,6585
NA,"Rate per 100,000 inhabitants",NA,402.5,1778.7
"Tucson, AZ M.S.A.",NA,1017936,NA,NA
NA,Includes Pima County,NA,NA,NA
NA,City of Tucson,533663,4245,31265
NA,Total area actually reporting,0.994,5037,43274
NA,Estimated total,1,5053,43432
NA,"Rate per 100,000 inhabitants",NA,496.4,4266.7
"Tulsa, OK M.S.A.",NA,984554,NA,NA
NA,"Includes Creek, Okmulgee, Osage, Pawnee, Rogers, Tulsa, and Wagoner Counties",NA,NA,NA
NA,City of Tulsa,405748,4444,23956
NA,Total area actually reporting,1,5798,35669
NA,"Rate per 100,000 inhabitants",NA,588.9,3622.9
"Tuscaloosa, AL M.S.A.",NA,241294,NA,NA
NA,"Includes Hale, Pickens, and Tuscaloosa Counties",NA,NA,NA
NA,City of Tuscaloosa,99925,480,3732
NA,Total area actually reporting,1,888,6726
NA,"Rate per 100,000 inhabitants",NA,368,2787.5
"Tyler, TX M.S.A.2, 3",NA,224848,NA,NA
NA,Includes Smith County,NA,NA,NA
NA,City of Tyler3,105044,429,NA
NA,Total area actually reporting,0.991,731,NA
NA,Estimated total,1,736,NA
NA,"Rate per 100,000 inhabitants",NA,327.3,NA
"Urban Honolulu, HI M.S.A.",NA,995572,NA,NA
NA,Includes Honolulu County,NA,NA,NA
NA,Total area actually reporting,1,3331,30592
NA,"Rate per 100,000 inhabitants",NA,334.6,3072.8
"Utica-Rome, NY M.S.A.",NA,292919,NA,NA
NA,Includes Herkimer and Oneida Counties,NA,NA,NA
NA,City of Utica,60879,382,2265
NA,City of Rome,32345,52,619
NA,Total area actually reporting,0.991,774,5495
NA,Estimated total,1,779,5534
NA,"Rate per 100,000 inhabitants",NA,265.9,1889.3
"Valdosta, GA M.S.A.",NA,143315,NA,NA
NA,"Includes Brooks, Echols, Lanier, and Lowndes Counties",NA,NA,NA
NA,City of Valdosta,55880,205,3057
NA,Total area actually reporting,0.995,456,4693
NA,Estimated total,1,459,4719
NA,"Rate per 100,000 inhabitants",NA,320.3,3292.7
"Vallejo-Fairfield, CA M.S.A.",NA,437638,NA,NA
NA,Includes Solano County,NA,NA,NA
NA,City of Vallejo,122293,1053,4810
NA,City of Fairfield,114521,476,2845
NA,Total area actually reporting,1,2022,11719
NA,"Rate per 100,000 inhabitants",NA,462,2677.8
"Vineland-Bridgeton, NJ M.S.A.",NA,154814,NA,NA
NA,Includes Cumberland County,NA,NA,NA
NA,City of Vineland,60823,297,2412
NA,City of Bridgeton,24982,225,952
NA,Total area actually reporting,1,802,5632
NA,"Rate per 100,000 inhabitants",NA,518,3637.9
"Virginia Beach-Norfolk-Newport News, VA-NC M.S.A.",NA,1724733,NA,NA
NA,"Includes Currituck and Gates Counties, NC and Gloucester, Isle of Wight, James City, Mathews, and York Counties and Chesapeake, Hampton, Newport News, Norfolk, Poquoson, Portsmouth, Suffolk, Virginia Beach, and Williamsburg Cities, VA",NA,NA,NA
NA,"City of Virginia Beach, VA",453017,700,9858
NA,"City of Norfolk, VA",245734,1616,9617
NA,"City of Newport News, VA",181676,848,5579
NA,"City of Hampton, VA",135504,442,4650
NA,"City of Portsmouth, VA",95813,758,5373
NA,Total area actually reporting,0.993,6054,48315
NA,Estimated total,1,6072,48481
NA,"Rate per 100,000 inhabitants",NA,352.1,2810.9
"Visalia-Porterville, CA M.S.A.",NA,460141,NA,NA
NA,Includes Tulare County,NA,NA,NA
NA,City of Visalia,131186,480,4196
NA,City of Porterville,56421,215,1315
NA,Total area actually reporting,1,1624,11608
NA,"Rate per 100,000 inhabitants",NA,352.9,2522.7
"Waco, TX M.S.A.",NA,263878,NA,NA
NA,Includes Falls and McLennan Counties,NA,NA,NA
NA,City of Waco,133790,695,4882
NA,Total area actually reporting,0.979,1104,7216
NA,Estimated total,1,1119,7351
NA,"Rate per 100,000 inhabitants",NA,424.1,2785.8
"Walla Walla, WA M.S.A.",NA,64789,NA,NA
NA,Includes Columbia and Walla Walla Counties,NA,NA,NA
NA,City of Walla Walla,32326,122,1372
NA,Total area actually reporting,1,162,2050
NA,"Rate per 100,000 inhabitants",NA,250,3164.1
"Warner Robins, GA M.S.A.",NA,189578,NA,NA
NA,"Includes Houston, Peach, and Pulaski Counties",NA,NA,NA
NA,City of Warner Robins,74419,494,4111
NA,Total area actually reporting,1,857,6711
NA,"Rate per 100,000 inhabitants",NA,452.1,3540
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",NA,6152267,NA,NA
NA,"Includes the Metropolitan Divisions of Silver Spring-Frederick-Rockville, MD and Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
NA,"City of Washington, D.C.",681170,7711,31661
NA,"City of Alexandria, VA",155319,286,2798
NA,"City of Frederick, MD",70316,343,1411
NA,Total area actually reporting,0.886,16494,100386
NA,Estimated total,1,18535,113381
